name,platform,id,team_name,car_name,avg_speed,total_distance,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,demos_inflicted,demos_taken
NotCrabz,steam,76561198243709124,SNOOP WELSO7BA,Octane,1578,518217,4,7,2,0,2,1,573,False,50.0,1,0
Bardrick916,epic,7d54688d8ac44c16a502d876194e8c33,SNOOP WELSO7BA,Octane,1284,416152,1,7,0,0,1,1,252,False,0.0,0,1
Chevoux,steam,76561199031828023,GOLD BOOMERS,Octane,1367,488233,3,5,1,1,1,0,386,True,33.333332,1,1
Olwan365,epic,18ffbb5ebaf244cb8c978f15c84a4155,GOLD BOOMERS,Octane,1392,503597,3,5,1,1,1,0,363,False,33.333332,1,0
Get Schwifty97,epic,0a7881f306a44b36b48894360de5212c,GOLD BOOMERS,'99 Nissan Skyline GT-R R34,1353,483457,1,5,0,1,0,1,202,False,0.0,0,1
Saitama.,steam,76561198345081954,TRIPLE THREAT,Octane,1491,534187,3,7,0,2,2,0,348,False,0.0,1,1
6J6O6K6E6R6,steam,76561198284555813,TRIPLE THREAT,Octane,1393,504095,2,7,1,2,2,0,330,False,50.0,0,0
IAMOn_Fir3,ps4,IAMOn_Fir3,TRIPLE THREAT,Fennec,1198,408287,0,7,0,2,0,0,72,False,0.0,1,1
Saitama.,steam,76561198345081954,TRIPLE THREAT,Octane,1430,587809,6,6,2,2,2,0,591,True,33.333332,0,1
6J6O6K6E6R6,steam,76561198284555813,TRIPLE THREAT,Octane,1342,551556,2,6,1,2,1,0,298,False,50.0,0,1
IAMOn_Fir3,ps4,IAMOn_Fir3,TRIPLE THREAT,Fennec,1239,511692,1,6,0,2,1,1,240,False,0.0,0,0
Olwan365,epic,18ffbb5ebaf244cb8c978f15c84a4155,GOLD BOOMERS,Octane,1354,559438,5,9,2,3,1,0,466,False,40.0,2,0
Get Schwifty97,epic,0a7881f306a44b36b48894360de5212c,GOLD BOOMERS,'99 Nissan Skyline GT-R R34,1400,578246,1,9,0,3,2,2,350,False,0.0,0,0
Chevoux,steam,76561199031828023,GOLD BOOMERS,Octane,1394,575586,0,9,0,3,0,0,114,False,0.0,0,0
6J6O6K6E6R6,steam,76561198284555813,TRIPLE THREAT,Octane,1407,452513,3,5,1,3,1,0,270,False,33.333332,0,0
Saitama.,steam,76561198345081954,TRIPLE THREAT,Octane,1511,486429,3,5,0,3,0,1,238,False,0.0,0,0
IAMOn_Fir3,ps4,IAMOn_Fir3,TRIPLE THREAT,Fennec,1373,350272,0,5,0,3,1,0,162,False,0.0,0,0
Olwan365,epic,18ffbb5ebaf244cb8c978f15c84a4155,GOLD BOOMERS,Octane,1339,430441,3,6,2,1,1,0,414,True,66.666664,0,0
Chevoux,steam,76561199031828023,GOLD BOOMERS,Octane,1392,442778,1,6,1,1,0,0,178,False,100.0,0,0
Get Schwifty97,epic,0a7881f306a44b36b48894360de5212c,GOLD BOOMERS,'99 Nissan Skyline GT-R R34,1392,436198,1,6,0,1,0,0,122,False,0.0,0,0
Saitama.,steam,76561198345081954,TRIPLE THREAT,Octane,1535,525945,6,4,6,1,0,0,868,True,100.0,0,1
6J6O6K6E6R6,steam,76561198284555813,TRIPLE THREAT,Octane,1363,469298,1,4,1,1,1,3,451,False,100.0,0,1
IAMOn_Fir3,ps4,IAMOn_Fir3,TRIPLE THREAT,Fennec,1237,425634,0,4,0,1,0,1,150,False,0.0,0,0
Olwan365,epic,18ffbb5ebaf244cb8c978f15c84a4155,GOLD BOOMERS,Octane,1306,447330,3,7,1,7,0,0,212,False,33.333332,0,0
Chevoux,steam,76561199031828023,GOLD BOOMERS,Octane,1348,466666,1,7,0,7,1,0,212,False,0.0,2,0
Get Schwifty97,epic,0a7881f306a44b36b48894360de5212c,GOLD BOOMERS,'99 Nissan Skyline GT-R R34,1408,488319,0,7,0,7,0,1,142,False,0.0,0,0
Amar,steam,76561198427640269,DEADLY,Octane,1467,458995,3,7,1,2,4,0,549,False,33.333332,1,2
Hazem,steam,76561198332397997,DEADLY,Octane,1574,499121,1,7,0,2,2,0,158,False,0.0,3,1
ToxicPrison,ps4,ToxicPrison,DEADLY,Octane,1598,510349,1,7,0,2,0,0,88,False,0.0,1,0
Snsb,steam,76561199039184195,SNOOP WELSO7BA,Octane,1514,474181,4,5,2,1,2,0,548,True,50.0,0,2
NotCrabz,steam,76561198243709124,SNOOP WELSO7BA,Octane,1587,501321,1,5,0,1,1,0,120,False,0.0,3,1
Bardrick916,epic,7d54688d8ac44c16a502d876194e8c33,SNOOP WELSO7BA,Octane,1193,372082,2,5,0,1,0,0,88,False,0.0,0,2
LakzInASlump,epic,51104b5ef1f542f0bbab05a11cd6e161,NIGGERS,Octane,1458,478303,4,7,2,2,3,0,491,True,50.0,1,0
Haithomianzz,ps4,Haithomianzz,NIGGERS,Octane,1277,420265,0,7,0,2,2,0,204,False,0.0,0,0
Vertzoz,ps4,Vertzoz,NIGGERS,Octane,1486,483576,2,7,1,2,0,0,196,False,50.0,0,1
